name,address,phone,rating,reviews_count,website,latitude,longitude
Joe's Pizza,7 Carmine St New York NY 10014,(212) 366-1182,4.5,8743,https://www.joespizzanyc.com,40.730461,-74.002548
Le Bernardin,155 W 51st St New York NY 10019,(212) 554-1515,4.7,4521,https://www.le-bernardin.com,40.761593,-73.981762
Peter Luger Steak House,178 Broadway Brooklyn NY 11211,(718) 387-7400,4.4,12890,https://peterluger.com,40.709821,-73.962129
Katz's Delicatessen,205 E Houston St New York NY 10002,(212) 254-2246,4.6,15234,https://katzsdelicatessen.com,40.722166,-73.987375
Levain Bakery,167 W 74th St New York NY 10023,(917) 464-3769,4.5,6312,https://www.levainbakery.com,40.779935,-73.977108
Di Fara Pizza,1424 Avenue J Brooklyn NY 11230,(718) 258-1367,4.3,3876,https://www.difaranyc.com,40.625036,-73.961563
Shake Shack,Madison Ave & E 23rd St New York NY 10010,(212) 889-6600,4.2,9451,https://www.shakeshack.com,40.741512,-73.988145
Russ & Daughters Cafe,127 Orchard St New York NY 10002,(212) 475-4881,4.6,2987,https://www.russanddaughterscafe.com,40.720126,-73.990234
Los Tacos No.1,75 9th Ave New York NY 10011,(212) 256-0343,4.7,5634,https://www.lostacos1.com,40.742423,-74.004915
Momofuku Noodle Bar,171 1st Ave New York NY 10003,(212) 777-7773,4.3,4102,https://www.momofukunoodlebar.com,40.729512,-73.984328
Balthazar,80 Spring St New York NY 10012,(212) 965-1414,4.4,7823,https://www.balthazarny.com,40.722874,-73.998142
The Halal Guys,53rd St & 6th Ave New York NY 10019,(347) 527-1505,4.5,18432,https://thehalalguys.com,40.761832,-73.979215
Grimaldi's Pizzeria,1 Front St Brooklyn NY 11201,(718) 858-4300,4.3,6543,https://www.grimaldis-pizza.com,40.702543,-73.993218
Eataly NYC Flatiron,200 5th Ave New York NY 10010,(212) 229-2560,4.2,11234,https://www.eataly.com,40.742156,-73.989674
Carbone,181 Thompson St New York NY 10012,(212) 254-3000,4.6,3245,https://www.carbonenewyork.com,40.727891,-73.999512
Dominique Ansel Bakery,189 Spring St New York NY 10012,(212) 219-2773,4.5,7891,https://www.dominiqueansel.com,40.724312,-74.001235
Wo Hop,17 Mott St New York NY 10013,(212) 406-3828,4.1,4567,https://www.wohopnyc.com,40.714532,-73.997865
Xi'an Famous Foods,67 Bayard St New York NY 10013,(212) 786-2068,4.4,3214,https://www.xianfoods.com,40.715723,-73.998432
Sylvia's Restaurant,328 Malcolm X Blvd New York NY 10027,(212) 996-0660,4.3,5678,https://sylviasrestaurant.com,40.808934,-73.943521
Junior's Restaurant,386 Flatbush Ave Ext Brooklyn NY 11201,(718) 852-5257,4.2,8976,https://www.juniorscheesecake.com,40.689234,-73.983412
